target_date,horizon_months,input_status,feature,feature_value,training_median,base_probability,median_replacement_probability,probability_contribution,absolute_contribution
2026-04-01,4,conditional forecast inputs,world_crude_yoy_current,-13.891298608225854,5.412956319907392,0.01202362230026512,0.014544983436620489,-0.0025213611363553694,0.0025213611363553694
2026-04-01,4,conditional forecast inputs,rainfall_anomaly_current,0.0,-1.0863060243871085,0.01202362230026512,0.01202362230026512,0.0,0.0
2026-04-01,4,conditional forecast inputs,temperature_anomaly_current,0.0,0.01040977391783926,0.01202362230026512,0.01202362230026512,0.0,0.0
2026-04-01,4,conditional forecast inputs,target_month_sin,0.8660254037844387,-2.4492935982947064e-16,0.01202362230026512,0.013369552734870704,-0.0013459304346055845,0.0013459304346055845
2026-04-01,4,conditional forecast inputs,target_month_cos,-0.4999999999999998,-1.8369701987210297e-16,0.01202362230026512,0.01202362230026512,0.0,0.0
2026-04-01,4,conditional forecast inputs,trend_months,314.0,167.0,0.01202362230026512,0.0056418041234617975,0.006381818176803322,0.006381818176803322
2026-05-01,5,conditional forecast inputs,food_cpi_yoy_current,3.155344247268954,5.481632271849612,0.00797033400471516,0.00797033400471516,0.0,0.0
2026-05-01,5,conditional forecast inputs,food_cpi_yoy_lag1,2.583040378968016,5.481632271849612,0.00797033400471516,0.00797033400471516,0.0,0.0
2026-05-01,5,conditional forecast inputs,food_cpi_mom_current,0.4553879310639441,0.5336184120685372,0.00797033400471516,0.016941460877998554,-0.008971126873283395,0.008971126873283395
2026-05-01,5,conditional forecast inputs,mandi_yoy_current,129.46745732075243,5.301875899761543,0.00797033400471516,0.0036213849147916383,0.004348949089923521,0.004348949089923521
2026-05-01,5,conditional forecast inputs,world_wheat_yoy_current,1.6348454677799884,2.080076195077396,0.00797033400471516,0.00797033400471516,0.0,0.0
2026-05-01,5,conditional forecast inputs,world_crude_yoy_current,-7.624611182763063,5.412956319907392,0.00797033400471516,0.009650020161338039,-0.0016796861566228793,0.0016796861566228793
2026-05-01,5,conditional forecast inputs,rainfall_anomaly_current,0.0,-1.0863060243871085,0.00797033400471516,0.00797033400471516,0.0,0.0
2026-05-01,5,conditional forecast inputs,temperature_anomaly_current,0.0,0.01040977391783926,0.00797033400471516,0.00797033400471516,0.0,0.0
2026-05-01,5,conditional forecast inputs,target_month_sin,0.4999999999999999,-2.4492935982947064e-16,0.00797033400471516,0.014612862443438597,-0.006642528438723438,0.006642528438723438
2026-05-01,5,conditional forecast inputs,target_month_cos,-0.8660254037844387,-1.8369701987210297e-16,0.00797033400471516,0.00797033400471516,0.0,0.0
2026-05-01,5,conditional forecast inputs,trend_months,315.0,167.0,0.00797033400471516,0.003115693701136189,0.0048546403035789705,0.0048546403035789705
2026-06-01,6,conditional forecast inputs,food_cpi_yoy_current,3.494369820059995,5.481632271849612,0.008540293052855235,0.008540293052855235,0.0,0.0
2026-06-01,6,conditional forecast inputs,food_cpi_yoy_lag1,3.155344247268954,5.481632271849612,0.008540293052855235,0.00837171912352424,0.00016857392933099583,0.00016857392933099583
2026-06-01,6,conditional forecast inputs,food_cpi_mom_current,0.3798433698113612,0.5336184120685372,0.008540293052855235,0.017169045399477514,-0.00862875234662228,0.00862875234662228
2026-06-01,6,conditional forecast inputs,mandi_yoy_current,127.93294574258756,5.301875899761543,0.008540293052855235,0.003881567201823919,0.004658725851031316,0.004658725851031316
2026-06-01,6,conditional forecast inputs,world_wheat_yoy_current,0.8601793424111603,2.080076195077396,0.008540293052855235,0.008540293052855235,0.0,0.0
2026-06-01,6,conditional forecast inputs,world_crude_yoy_current,-2.978018125224269,5.412956319907392,0.008540293052855235,0.010605429276244442,-0.002065136223389207,0.002065136223389207
2026-06-01,6,conditional forecast inputs,rainfall_anomaly_current,0.0,-1.0863060243871085,0.008540293052855235,0.008540293052855235,0.0,0.0
2026-06-01,6,conditional forecast inputs,temperature_anomaly_current,0.0,0.01040977391783926,0.008540293052855235,0.008540293052855235,0.0,0.0
2026-06-01,6,conditional forecast inputs,target_month_sin,1.2246467991473532e-16,-2.4492935982947064e-16,0.008540293052855235,0.016286681914225977,-0.007746388861370742,0.007746388861370742
2026-06-01,6,conditional forecast inputs,target_month_cos,-1.0,-1.8369701987210297e-16,0.008540293052855235,0.007769464501319146,0.0007708285515360888,0.0007708285515360888
2026-06-01,6,conditional forecast inputs,trend_months,316.0,167.0,0.008540293052855235,0.003552598763544873,0.004987694289310362,0.004987694289310362
2026-07-01,7,conditional forecast inputs,food_cpi_yoy_current,3.19385787676143,5.481632271849612,0.03799609126846582,0.04196480872680857,-0.003968717458342749,0.003968717458342749
