date,Commodity,weighted_price_sum,official_observations,national_weighted_price,base_price_2015,price_index_2015_100,index_yoy_pct
2013-04-01,Rice,23662755.0,10101,2342.6150876150878,2548.99909159767,91.90333159933672,17.56817506227002
2013-05-01,Rice,26479312.480000004,11079,2390.045354273852,2548.99909159767,93.7640724216897,17.32929421095011
2013-06-01,Rice,27636226.87,11230,2460.928483526269,2548.99909159767,96.54489448969555,20.308104187046027
2013-07-01,Rice,30365645.07,11860,2560.341068296796,2548.99909159767,100.44495805182956,21.2673376355923
2013-08-01,Rice,25344148.68,10036,2525.3237026703864,2548.99909159767,99.07118880484009,18.284736435916884
2013-09-01,Rice,25168476.52,9917,2537.9123242916203,2548.99909159767,99.56505408956028,17.078352074089477
2013-10-01,Rice,23102305.650000002,9077,2545.1476974771404,2548.99909159767,99.84890562993039,15.72350257537327
2013-11-01,Rice,22056484.0,8623,2557.8666357416214,2548.99909159767,100.34788337795732,15.89687638590689
2013-12-01,Rice,20996760.0,8214,2556.2162162162163,2548.99909159767,100.28313562928822,14.451339409249275
2014-01-01,Rice,23661911.0,9456,2502.317153130288,2548.99909159767,98.16861690452299,9.97233628445857
2014-02-01,Rice,22154013.000000004,8714,2542.3471425292637,2548.99909159767,99.73903682075317,9.114359539852245
2014-03-01,Rice,24506848.0,9537,2569.66006081577,2548.99909159767,100.81055223935564,8.767608551942097
2014-04-01,Rice,22644165.0,8827,2565.3296703296705,2548.99909159767,100.64066632215882,9.507092475073176
2014-05-01,Rice,24920667.0,9710,2566.4950566426364,2548.99909159767,100.6863856916481,7.382692636073163
2014-06-01,Rice,24222735.0,9324,2597.890926640927,2548.99909159767,101.9180797358626,5.565478396934331
2014-07-01,Rice,25759341.0,9891,2604.321201091902,2548.99909159767,102.17034637935305,1.7177450824691354
2014-08-01,Rice,24723178.5,9340,2647.0212526766595,2548.99909159767,103.8455157321202,4.81908714821726
2014-09-01,Rice,23003498.0,8804,2612.8462062698773,2548.99909159767,102.50479158202401,2.952579616759299
2014-10-01,Rice,22804742.47,8681,2626.971831586223,2548.99909159767,103.05895518933595,3.21490710304122
2014-11-01,Rice,24454627.0,9344,2617.1475813356165,2548.99909159767,102.6735391927987,2.317593293006359
2014-12-01,Rice,25827635.0,10251,2519.523461125744,2548.99909159767,98.84363903584402,-1.4354323729620089
2015-01-01,Rice,27417637.0,10919,2511.0025643373933,2548.99909159767,98.50935500975557,0.347094739619247
2015-02-01,Rice,25357997.12,10082,2515.175274747074,2548.99909159767,98.6730549664733,-1.0687709529375256
2015-03-01,Rice,26431346.97,10496,2518.2304658917683,2548.99909159767,98.79291342992921,-2.0014162849102624
2015-04-01,Rice,24351380.75,9799,2485.088350852128,2548.99909159767,97.49271229808544,-3.127914529099529
2015-05-01,Rice,25465289.67,10215,2492.9309515418504,2548.99909159767,97.80038603228074,-2.8663256105008306
2015-06-01,Rice,27880833.0,11002,2534.1604253772043,2548.99909159767,99.41786302437774,-2.4531630874174537
2015-07-01,Rice,27508948.5,10633,2587.1295495156587,2548.99909159767,101.49589923525978,-0.6601202481873569
2015-08-01,Rice,26756035.0,10471,2555.251169897813,2548.99909159767,100.24527581515238,-3.46691900135101
2015-09-01,Rice,27601744.5,10674,2585.8857504215853,2548.99909159767,101.44710364729065,-1.0318424323481623
2015-10-01,Rice,26672302.5,10304,2588.5386743012423,2548.99909159767,101.55118072948349,-1.46302129405681
2015-11-01,Rice,25388673.0,9815,2586.7216505348956,2548.99909159767,101.47989691567845,-1.1625607595729615
2015-12-01,Rice,27965838.0,10642,2627.8742717534296,2548.99909159767,103.09435889623335,4.300448568923976
2016-01-01,Rice,25777476.0,9846,2618.0658135283365,2548.99909159767,102.70956243799117,4.263765028021593
2016-02-01,Rice,25380149.0,9705,2615.1621844410097,2548.99909159767,102.59564991848897,3.975345603061009
2016-03-01,Rice,24269175.0,9369,2590.369836695485,2548.99909159767,101.62301921700116,2.864685015164836
2016-04-01,Rice,22486271.0,8840,2543.695814479638,2548.99909159767,99.79194668466091,2.3583653920157044
2016-05-01,Rice,27263201.0,10459,2606.6737737833446,2548.99909159767,102.26264035855442,4.562614226083772
2016-06-01,Rice,27890273.0,10367,2690.2935275393074,2548.99909159767,105.5431340249351,6.161137258658855
2016-07-01,Rice,27576952.0,10196,2704.6834052569634,2548.99909159767,106.10766454066145,4.543794715008076
2016-08-01,Rice,26588805.0,9629,2761.325682833108,2548.99909159767,108.32980254623611,8.064745859935796
2016-09-01,Rice,24945377.0,9213,2707.6280256159775,2548.99909159767,106.22318519222704,4.707952591275322
2016-10-01,Rice,24599959.0,9020,2727.268181818182,2548.99909159767,106.99368982939792,5.359375499938723
2016-11-01,Rice,25718613.0,9423,2729.3444762814393,2548.99909159767,107.07514511394871,5.513651834825417
2016-12-01,Rice,26139918.0,9662,2705.4355205961497,2548.99909159767,106.13717084145479,2.9514824843948073
2017-01-01,Rice,17586366.0,6610,2660.5697428139183,2548.99909159767,104.37703770017107,1.6234858980989308
2017-02-01,Rice,16593938.0,6203,2675.147186845075,2548.99909159767,104.94892664588347,2.2937392855000738
2017-03-01,Rice,18221365.0,6738,2704.269070940932,2548.99909159767,106.09140975589526,4.397025962545453
2017-04-01,Rice,17715206.0,6507,2722.484401413862,2548.99909159767,106.80601693378614,7.028693679350151
2017-05-01,Rice,18706785.0,6805,2748.9764878765614,2548.99909159767,107.84533022934697,5.459168520603863
2017-06-01,Rice,18986199.0,6873,2762.432562199913,2548.99909159767,108.37322662474809,2.6814559051698827
2017-07-01,Rice,19822747.0,7176,2762.3671962095873,2548.99909159767,108.37066224602621,2.132737267530338
2017-08-01,Rice,20277440.0,7313,2772.7936551346916,2548.99909159767,108.77970354225394,0.41530676272192313
2017-09-01,Rice,19084743.0,6943,2748.774737145326,2548.99909159767,107.83741532926322,1.5196589465049426
2017-10-01,Rice,18430682.0,6655,2769.4488354620585,2548.99909159767,108.64848263740313,1.5466265446530514
2017-11-01,Rice,19605402.0,7018,2793.588201766885,2548.99909159767,109.59549616849453,2.353815212544119
2017-12-01,Rice,19391743.0,7027,2759.6048100185,2548.99909159767,108.26229083859052,2.00223915927642
2018-01-01,Rice,31115461.0,11374,2735.665640935467,2548.99909159767,107.32313126172193,2.822549505585381
2018-02-01,Rice,28768834.0,10441,2755.371516138301,2548.99909159767,108.09621412659196,2.998875339933682
2018-03-01,Rice,29378018.0,10654,2757.4636756147925,2548.99909159767,108.17829181282526,1.9670603508160411
2018-04-01,Rice,26776581.0,9805,2730.9108618052014,2548.99909159767,107.13659611755735,0.309513633465186
2018-05-01,Rice,32016957.0,11488,2786.9913823119778,2548.99909159767,109.33669578380031,1.3828744844878837
2018-06-01,Rice,28862236.0,10322,2796.1863979848868,2548.99909159767,109.69742622514173,1.221888137536764
2018-07-01,Rice,31664417.0,11231,2819.376458017986,2548.99909159767,110.60719744120615,2.0637828991969087
2018-08-01,Rice,31626303.0,11193,2825.543017957652,2548.99909159767,110.8491182782905,1.902390490734085
2018-09-01,Rice,29097712.0,10440,2787.1371647509577,2548.99909159767,109.34241498705387,1.3956191857857458
2018-10-01,Rice,28542717.0,10279,2776.7990076855726,2548.99909159767,108.93683786858949,0.2654019864674062
2018-11-01,Rice,26643011.0,9636,2764.945101701951,2548.99909159767,108.47179627549139,-1.025315758665435
2018-12-01,Rice,28640497.0,10416,2749.6636904761904,2548.99909159767,107.87228993293785,-0.3602370711276781
2019-01-01,Rice,23068710.000000004,8378,2753.486512294104,2548.99909159767,108.0222633805752,0.6514272465162563
2019-02-01,Rice,20919829.0,7546,2772.3070500927643,2548.99909159767,108.76061349849789,0.6146370409678248
2019-03-01,Rice,22086239.0,7942,2780.941702341979,2548.99909159767,109.09936027473951,0.8514355759174919
2019-04-01,Rice,21334648.0,7625,2797.9866229508198,2548.99909159767,109.76805100378003,2.4561680896929783
2019-05-01,Rice,22432816.0,7975,2812.892288401254,2548.99909159767,110.3528164318874,0.9293500601996962
2019-06-01,Rice,20866013.0,7451,2800.43121728627,2548.99909159767,109.86395509191831,0.15180745119289796
2019-07-01,Rice,21834097.0,7824,2790.656569529652,2548.99909159767,109.4804850550384,-1.0186610023878995
2019-08-01,Rice,21597790.0,7687,2809.651359438012,2548.99909159767,110.2256712722863,-0.5624284754697007
2019-09-01,Rice,21680514.0,7682,2822.248633168446,2548.99909159767,110.71987598863785,1.2597682260329313
2019-10-01,Rice,20380363.0,7202,2829.819911135796,2548.99909159767,111.01690543805225,1.909425324032199
2019-11-01,Rice,21675156.0,7600,2851.994210526316,2548.99909159767,111.88682726201888,3.1483123759232123
2019-12-01,Rice,21438831.0,7588,2825.3599103848182,2548.99909159767,110.8419347695385,2.7529264822753197
2020-01-01,Rice,21533674.5,7825,2751.907284345048,2548.99909159767,107.96030855468837,-0.057353756483102813
2020-02-01,Rice,19939935.0,7223,2760.6167797314133,2548.99909159767,108.30199150840437,-0.42168021615642814
2020-03-01,Rice,16930484.0,6084,2782.7882971729127,2548.99909159767,109.17180419349258,0.06640178143175746
2020-04-01,Rice,17709915.0,6259,2829.511902859882,2548.99909159767,111.00482193920247,1.12671303180909
2020-05-01,Rice,19554320.0,6928,2822.5057736720555,2548.99909159767,110.72996388958914,0.3417651401172117
2020-06-01,Rice,19641057.0,7041,2789.5266297400935,2548.99909159767,109.4361562911215,-0.3893895868202546
2020-07-01,Rice,17830042.0,6366,2800.823437009111,2548.99909159767,109.87934229719954,0.36431811748058873
2020-08-01,Rice,15615145.0,5614,2781.4650872817956,2548.99909159767,109.11989323379554,-1.0031946512343848
2020-09-01,Rice,17795962.000000004,6463,2753.514157511992,2548.99909159767,108.02334793246769,-2.4354507554243288
2020-10-01,Rice,16752480.0,6197,2703.320961755688,2548.99909159767,106.05421440386986,-4.470212004739748
2020-11-01,Rice,16274404.0,6094,2670.561864128651,2548.99909159767,104.7690394606923,-6.3615958871172555
2020-12-01,Rice,17379291.0,6637,2618.5461805032396,2548.99909159767,102.72840775560962,-7.3199074256493635
2021-01-01,Rice,14543099.0,5531,2629.379678177545,2548.99909159767,103.15341762360117,-4.452461275295649
