date,food_cpi_yoy,baseline_fitted,full_fitted,full_residual
2014-01-01,9.659091952635237,12.310517101275073,12.310110526037134,-2.651018573401897
2014-02-01,8.161350529874078,9.38346469197121,9.435372014945582,-1.2740214850715041
2014-03-01,8.60617414177538,7.975927586902403,8.138793771992503,0.46738036978287667
2014-04-01,9.192200821115094,8.404628154379735,8.473450947948233,0.7187498731668605
2014-05-01,8.882784438132862,8.971367770283274,8.926919251825097,-0.04413481369223504
2014-06-01,7.30837835475151,8.696148757912812,8.714564647752017,-1.4061862930005065
2014-07-01,8.71839592282646,7.226711435415615,7.111376805353668,1.6070191174727917
2014-08-01,8.576329385480875,8.558915470103717,8.507971350431882,0.06835803504899296
2014-09-01,6.33981435579194,8.421553127626785,8.405480930635857,-2.0656665748439167
2014-10-01,4.326123440755247,6.3049517210889245,6.346017948533964,-2.0198945077787167
2014-11-01,2.0391525227500207,4.392923897889594,4.3936428928658575,-2.354490370115837
2014-12-01,4.391892194080849,2.222883863139425,2.173587656906375,2.2183045371744736
2015-01-01,6.303971863735747,4.423259032906693,4.437408124738572,1.8665637389971748
2015-02-01,6.7649608830764985,6.216088672119563,6.200213853268109,0.5647470298083892
2015-03-01,6.287682557608321,6.652056186217169,6.592655648527402,-0.30497309091908154
2015-04-01,5.442176575505564,6.212899112671279,6.3757700133757025,-0.9335934378701385
2015-05-01,5.130360681793178,5.432318537326434,5.635344516631169,-0.5049838348379909
2015-06-01,5.730896013558451,5.154841169737868,5.152193652561449,0.5787023609970019
2015-07-01,2.8067366591370657,5.732400442104703,5.768664053562011,-2.9619273944249453
2015-08-01,2.922590037982076,2.985393266733541,3.004851415487853,-0.08226137750577678
2015-09-01,4.292527825164694,3.0907782398913963,3.0948896625467675,1.1976381626179262
2015-10-01,5.342903061859716,4.368473610389334,4.317330191078185,1.0255728707815308
2015-11-01,6.075139029555232,5.340262765133809,5.2242878197962765,0.8508512097589556
2015-12-01,6.310679511422679,6.011819368885654,6.008098217506074,0.3025812939166048
2016-01-01,6.6612514389759125,6.219543379730437,6.232611434540882,0.4286400044350307
2016-02-01,5.523964481523991,6.542723763714772,6.437754257808488,-0.9137897762844975
2016-03-01,5.186386516724584,5.4744103700909585,5.345246030108559,-0.15885951338397497
2016-04-01,6.29032251425703,5.166735533537173,5.125719282501882,1.164603231755148
2016-05-01,7.200000416479901,6.220917525316114,6.152998660835487,1.0470017556444144
2016-06-01,7.46268733014015,7.093077395546411,7.08757031319957,0.37511701694058
2016-07-01,7.956318046216104,7.352662787502052,7.306981754356444,0.6493362918596599
