model,term,coefficient,std_error,t_stat,p_value,ci_95_lower,ci_95_upper,window_start,window_end
state_5-year,C(calendar_month)[T.12],1.1292130888607337,0.94129851261746,1.1996333508705346,0.23028176806653444,-0.7156980945706095,2.9741242722920767,2021-08-01,2026-07-01
state_5-year,C(Commodity)[T.Bengal Gram(Gram)(Whole)],-2.906229564197836,1.3432969349882935,-2.1635049470452064,0.030502363651775992,-5.539043177317934,-0.2734159510777383,2021-08-01,2026-07-01
state_5-year,C(Commodity)[T.Onion],-2.8427216972444214,1.8223028140528512,-1.559961206953377,0.11876904882989286,-6.414369581714,0.728926187225158,2021-08-01,2026-07-01
state_5-year,C(Commodity)[T.Potato],-2.7562239837210565,1.750695233877195,-1.574359677450516,0.11540432030440868,-6.187523590026286,0.6750756225841728,2021-08-01,2026-07-01
state_5-year,C(Commodity)[T.Rice],0.9889349910949093,1.611503587103282,0.6136722245046595,0.5394319462304169,-2.169554000584629,4.1474239827744475,2021-08-01,2026-07-01
state_5-year,C(Commodity)[T.Soyabean],-4.526657485172055,1.460852648822155,-3.0986407074127382,0.0019441062875325955,-7.389876063583418,-1.6634389067606916,2021-08-01,2026-07-01
state_5-year,C(Commodity)[T.Tomato],16.577356921993715,2.31563008813265,7.158896840627028,8.132885583626419e-13,12.03880534773641,21.11590849625102,2021-08-01,2026-07-01
state_5-year,C(Commodity)[T.Wheat],-1.2970405286324083,1.6045631010870305,-0.8083449804832933,0.4188920154341843,-4.44192641768489,1.8478453604200735,2021-08-01,2026-07-01
state_5-year,C(region)[T.Andhra Pradesh],60.35196463030564,2.2938420116469738,26.31042779924196,1.4570772266958829e-152,55.85611690125266,64.84781235935861,2021-08-01,2026-07-01
state_5-year,C(region)[T.Arunachal Pradesh],-4.016182713940282e-15,9.518462536783692e-16,-4.219360740686761,2.449959967816557e-05,-5.881767089969262e-15,-2.1505983379113024e-15,2021-08-01,2026-07-01
state_5-year,C(region)[T.Assam],81.62746609982521,2.2320415908047466,36.57076393025231,8.341626628238886e-293,77.25274496985242,86.00218722979801,2021-08-01,2026-07-01
state_5-year,C(region)[T.Bihar],61.635568131452914,2.7928749104161197,22.068860979623906,6.2957563073303944e-108,56.16163389371179,67.10950236919403,2021-08-01,2026-07-01
state_5-year,C(region)[T.Chandigarh],61.930690171912495,2.3381993245390893,26.48648877876158,1.3870981541315557e-154,57.34790370714,66.513476636685,2021-08-01,2026-07-01
state_5-year,C(region)[T.Chhattisgarh],58.74021268337175,2.7341099728043634,21.48421726545337,2.187192795446764e-102,53.381455606903415,64.09896975984009,2021-08-01,2026-07-01
state_5-year,C(region)[T.Delhi],60.85832059373282,2.708111742704509,22.4726031921251,7.694644719631449e-112,55.55051911192198,66.16612207554365,2021-08-01,2026-07-01
state_5-year,C(region)[T.Goa],50.675107761679634,2.2490688590902175,22.53159460052214,2.0349733990128142e-112,46.26701379911222,55.08320172424705,2021-08-01,2026-07-01
state_5-year,C(region)[T.Gujarat],57.87985258044941,3.3554250345420127,17.24963364837907,1.1261113069213582e-66,51.303340359923,64.45636480097582,2021-08-01,2026-07-01
state_5-year,C(region)[T.Haryana],57.4064820511269,3.1396143092311743,18.28456504429187,1.0983617819588993e-74,51.2529510796872,63.5600130225666,2021-08-01,2026-07-01
state_5-year,C(region)[T.Himachal Pradesh],54.83563297346893,2.820820742964806,19.439602147789895,3.5692281200843675e-84,49.30692591041439,60.36434003652347,2021-08-01,2026-07-01
state_5-year,C(region)[T.Jammu and Kashmir],48.96630767072163,2.2097398384521747,22.159308900825344,8.484274396260779e-109,44.635297172152015,53.29731816929125,2021-08-01,2026-07-01
state_5-year,C(region)[T.Jharkhand],31.450088984467666,2.100919818955842,14.969675996534876,1.158844368622397e-50,27.332361804907805,35.567816164027526,2021-08-01,2026-07-01
state_5-year,C(region)[T.Karnataka],56.95228227899137,2.8686478983419126,19.85335401807589,1.0308510451979558e-87,51.329835713914704,62.574728844068034,2021-08-01,2026-07-01
state_5-year,C(region)[T.Kerala],55.90958959012749,2.747349719655384,20.35037228429024,4.607621093497064e-92,50.52488308666672,61.29429609358826,2021-08-01,2026-07-01
state_5-year,C(region)[T.Madhya Pradesh],57.366614001893076,3.627199905419168,15.81567476228296,2.4259655214258187e-56,50.257432822544416,64.47579518124174,2021-08-01,2026-07-01
state_5-year,C(region)[T.Maharashtra],59.16270088508571,3.3986988068325834,17.40745627889939,7.243148303242874e-68,52.50137362939459,65.82402814077683,2021-08-01,2026-07-01
state_5-year,C(region)[T.Manipur],59.42097156954269,2.838963496499266,20.930516240457074,2.824212736086131e-97,53.85670536298022,64.98523777610515,2021-08-01,2026-07-01
state_5-year,C(region)[T.Meghalaya],60.59506164140351,1.6347059456134299,37.067866428212554,9.25796201758112e-301,57.3910968626877,63.799026420119326,2021-08-01,2026-07-01
